Sample Size:	4210.0	3327.0	3443.0	4733.0	3486.0	3273.0	3462.0	2717.0	2329.0	2577.0	2795.0	3400.0	2570.0	2302.0	2400.0	3069.0	2620.0	3258.0	2258.0	2980.0	2319.0	2471.0	2613.0	3196.0	2553.0	2775.0	2869.0	4427.0	3149.0	3923.0	3689.0	5126.0	4055.0	4109.0	3818.0	5877.0	5204.0	5442.0	4896.0	5992.0	4686.0	3516.0	3573.0	4484.0	3177.0	2827.0	3528.0	5458.0

Northern Pintail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.917E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp.	0.0011876	9.017E-4	8.713E-4	6.338E-4	5.737E-4	9.166E-4	5.777E-4	0.0014722	4.294E-4	0.0015	0.0	0.0015	3.891E-4	4.344E-4	4.167E-4	6.517E-4	3.817E-4	9.208E-4	4.429E-4	6.711E-4	4.312E-4	8.094E-4	0.0	0.0	7.834E-4	3.604E-4	0.0010457	4.518E-4	6.351E-4	5.098E-4	0.0010843	1.951E-4	2.466E-4	7.301E-4	7.858E-4	8.508E-4	1.922E-4	7.35E-4	2.042E-4	0.0	4.268E-4	8.532E-4	8.396E-4	0.0011151	6.295E-4	0.0	8.503E-4	1.832E-4	
Red-crested Pochard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.312E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.176E-4	2.549E-4	0.0	1.951E-4	2.466E-4	0.0	0.0	0.0	0.0	0.0	2.042E-4	0.0	2.134E-4	0.0	0.0	0.0	3.148E-4	0.0	0.0	0.0	
Southern Pochard	0.0275534	0.0309588	0.0217833	0.0200718	0.0177854	0.0174152	0.0199307	0.0202429	0.0193216	0.0209546	0.0146691	0.0108824	0.0093385	0.0112945	0.0141667	0.0140111	0.0145038	0.014426	0.0132861	0.0191275	0.0172488	0.0169972	0.0168389	0.0147059	0.0199765	0.0201802	0.022656	0.0252993	0.0269927	0.0198827	0.0252101	0.0249707	0.0231813	0.0275006	0.0293347	0.0309682	0.028824	0.0205807	0.0281863	0.0290387	0.0305164	0.0346985	0.0274279	0.0252007	0.0283286	0.0275911	0.0204082	0.0227189	
Rosy-billed Pochard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.799E-4	0.0	0.0	0.0	0.0	0.0	
Ruddy Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.799E-4	0.0	3.148E-4	0.0	0.0	0.0	
Maccoa Duck	0.012114	0.0129246	0.0101656	0.0101416	0.0091796	0.0109991	0.013576	0.0121457	0.0120223	0.0085371	0.008229	0.0073529	0.0046693	0.0047785	0.0070833	0.0097752	0.0076336	0.0101289	0.0057573	0.009396	0.0086244	0.0113314	0.0088021	0.0093867	0.0078339	0.0082883	0.0080167	0.0081319	0.0117498	0.0068825	0.0132827	0.0122903	0.010111	0.0128985	0.0120482	0.0122511	0.013259	0.0121279	0.0120507	0.0100134	0.0177123	0.0136519	0.0139938	0.01405	0.0154234	0.0095508	0.0116213	0.0098937	
duck sp.	0.0	0.0	2.904E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.578E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.922E-4	0.0	0.0	1.669E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Helmeted Guineafowl	0.1909739	0.2103998	0.1806564	0.1643778	0.1600688	0.1659028	0.1802426	0.1718808	0.1769	0.185875	0.1652952	0.1573529	0.166537	0.1711555	0.1541667	0.170088	0.1648855	0.1675875	0.1744907	0.195302	0.1802501	0.1837313	0.1791045	0.1846058	0.1887975	0.2075676	0.2011154	0.1978767	0.2172118	0.213612	0.2014096	0.206984	0.2049322	0.2221952	0.2441069	0.2366854	0.1917756	0.2216097	0.250817	0.2459947	0.237516	0.2588168	0.2395746	0.2426405	0.2146679	0.2076406	0.2083333	0.186332	
Southern Crested Guineafowl	0.0111639	0.0129246	0.0159744	0.0086626	0.0091796	0.0106936	0.0075101	0.0092013	0.008158	0.0062088	0.0093023	0.0120588	0.0070039	0.0039096	0.0075	0.0065168	0.0080153	0.014426	0.010186	0.0144295	0.0099181	0.0157831	0.0099502	0.0103254	0.0168429	0.0133333	0.0188219	0.019878	0.0184185	0.013765	0.0132827	0.013851	0.0162762	0.0158189	0.0110005	0.0183767	0.018063	0.0246233	0.0277778	0.0263685	0.0198464	0.0307167	0.0274279	0.0227475	0.0157381	0.0208702	0.0138889	0.0137413	
